Iterations,Train Accuracy,Test Accuracy
1,0.5114595883100927,0.45513638576808785
251,0.5815443556026896,0.6532447964043078
501,0.6399882380464532,0.6487703805594512
751,0.6350141652763956,0.6495166492161677
1001,0.6356225232645614,0.6495166492161677
1251,0.6353367459215569,0.6495166492161677
1501,0.6353367459215569,0.6495166492161677
1751,0.6353367459215569,0.6495166492161677
2001,0.6353367459215569,0.6495166492161677
2251,0.6353367459215569,0.6495166492161677
2501,0.6353367459215569,0.6495166492161677
2751,0.6353367459215569,0.6495166492161677
3001,0.6353367459215569,0.6495166492161677
3251,0.6353367459215569,0.6495166492161677
3501,0.6353367459215569,0.6495166492161677
3751,0.6353367459215569,0.6495166492161677
4001,0.6353367459215569,0.6495166492161677
4251,0.6353367459215569,0.6495166492161677
4501,0.6353367459215569,0.6495166492161677
4751,0.6353367459215569,0.6495166492161677
