Iterations,Train Accuracy,Test Accuracy
1,0.6166791541791542,0.6255952380952381
251,0.8163594738594739,0.8702380952380953
501,0.8163594738594739,0.8702380952380953
751,0.8163594738594739,0.8702380952380953
1001,0.8163594738594739,0.8702380952380953
1251,0.8163594738594739,0.8702380952380953
1501,0.8163594738594739,0.8702380952380953
1751,0.8163594738594739,0.8702380952380953
2001,0.8163594738594739,0.8702380952380953
2251,0.8163594738594739,0.8702380952380953
2501,0.8163594738594739,0.8702380952380953
2751,0.8163594738594739,0.8702380952380953
3001,0.8163594738594739,0.8702380952380953
3251,0.8163594738594739,0.8702380952380953
3501,0.8163594738594739,0.8702380952380953
3751,0.8163594738594739,0.8702380952380953
4001,0.8163594738594739,0.8702380952380953
4251,0.8163594738594739,0.8702380952380953
4501,0.8163594738594739,0.8702380952380953
4751,0.8163594738594739,0.8702380952380953
