mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_predict__class_weight,param_predict__criterion,param_predict__max_depth,param_predict__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.0764965534210205,0.018813407591275297,0.0020702600479125975,0.0023530376983453426,balanced,entropy,,1,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': None, 'predict__min_samples_leaf': 1}",0.5909090909090909,0.6828282828282828,0.671875,0.6181988742964352,0.5875,0.5551616392260547,0.6571428571428574,0.586764705882353,0.6360788408823914,0.5874999999999999,0.6173959291167466,0.04059475422493768,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06238865852355957,0.016819221096217554,0.002472662925720215,0.0023624883997098705,balanced,entropy,,2,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': None, 'predict__min_samples_leaf': 2}",0.6331378299120234,0.7161616161616161,0.6337499999999999,0.6004473950064944,0.5424999999999999,0.598906381444538,0.7057142857142858,0.5911764705882353,0.6238089022320846,0.5676470588235293,0.6213249939882808,0.052304620562641055,17,0.9777027027027029,0.9789115646258503,0.9816949152542372,0.9795361527967257,0.9820338983050846,0.9834235453315292,0.9821917808219178,0.9832764505119453,0.9840353260869567,0.979863481228669,0.9812669817665618,0.002029696048646499
0.04664466381072998,0.005675350186791481,0.0016140222549438476,0.0008414140869297094,balanced,entropy,,3,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': None, 'predict__min_samples_leaf': 3}",0.6730205278592375,0.7242424242424242,0.671875,0.6126425169577138,0.5768749999999999,0.6239033769979571,0.6542857142857144,0.6845588235294118,0.6009006657094375,0.5992647058823529,0.6421568755464249,0.04418894329737835,10,0.9502636783124588,0.9579931972789117,0.9579293444966304,0.9562746145331925,0.9568756381458035,0.9570578845724346,0.9596607199745142,0.9590805059225056,0.963138066881631,0.9509616542862879,0.9569235304404371,0.003650480738463022
0.044081807136535645,0.00815444828493034,0.0012115955352783204,0.0007087908064830123,balanced,entropy,,4,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': None, 'predict__min_samples_leaf': 4}",0.7079178885630497,0.6838383838383837,0.63125,0.5860152980228027,0.6174999999999999,0.6237831991347195,0.6714285714285715,0.6529411764705882,0.7089152852108079,0.6338235294117647,0.6517413332080687,0.038547236064813195,6,0.9318556361239289,0.9256802721088436,0.9366510108229528,0.9350594609899867,0.9318317337145191,0.9388704231643392,0.9382366995858554,0.930098373820518,0.9335279280216351,0.9288857659104598,0.9330697304263038,0.004016035641976017
0.04989957809448242,0.010494280299545584,0.001287078857421875,0.000624767552065271,balanced,entropy,,5,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': None, 'predict__min_samples_leaf': 5}",0.7073313782991202,0.7101010101010099,0.6606249999999999,0.5852936931736181,0.634375,0.6426511236630212,0.6885714285714286,0.6213235294117647,0.6829395640255842,0.6801470588235293,0.6613358786069078,0.03809973148567163,1,0.9087755438365194,0.9056122448979592,0.9157198284664079,0.9172147288218485,0.9164304676332446,0.9096210439192296,0.9170197515132208,0.9146878136920297,0.9120699630746828,0.9138606705480827,0.9131012056403224,0.003758752819451153
0.05048434734344483,0.00920586037243917,0.0011395931243896485,0.00022135674550211496,balanced,entropy,100,1,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': 100, 'predict__min_samples_leaf': 1}",0.6231671554252199,0.6939393939393939,0.6493749999999999,0.6060037523452156,0.5575,0.573909385891119,0.7085714285714285,0.6183823529411765,0.6238089022320846,0.5485294117647058,0.6203186783110345,0.05053265976910785,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09098656177520752,0.035294676888250144,0.0018163204193115234,0.0014325936772006278,balanced,entropy,100,2,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': 100, 'predict__min_samples_leaf': 2}",0.6202346041055717,0.701010101010101,0.6931249999999999,0.581974310867369,0.55875,0.5548011056363419,0.7085714285714286,0.6404411764705884,0.6221772614541183,0.5463235294117647,0.6227408517527282,0.05914300317634185,16,0.9780405405405406,0.9789115646258503,0.9820338983050847,0.9791950886766712,0.983050847457627,0.9827469553450608,0.9815068493150686,0.9836177474402731,0.9826766304347827,0.9795221843003414,0.9811302306441301,0.0019141412697642514
0.06279351711273193,0.017314682279072815,0.0013884305953979492,0.0007367703518419362,balanced,entropy,100,3,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': 100, 'predict__min_samples_leaf': 3}",0.6516129032258063,0.7181818181818183,0.6612499999999999,0.6100447395006494,0.5662499999999999,0.6080999879822137,0.6685714285714286,0.6147058823529411,0.6283122307792718,0.5963235294117647,0.6323352520005894,0.04118941969180739,12,0.9508075148319051,0.9561224489795919,0.957402491321217,0.9537311127699555,0.956536655094956,0.9570578845724346,0.9602102580439631,0.9604456936358161,0.9602435250676098,0.9491025898413973,0.9561660174158846,0.0037188098146278582
0.05171754360198975,0.006570077375383158,0.0016314983367919922,0.0007926502031484318,balanced,entropy,100,4,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': 100, 'predict__min_samples_leaf': 4}",0.7079178885630498,0.6949494949494948,0.624375,0.5860152980228026,0.6074999999999999,0.6300324480230742,0.6714285714285715,0.6404411764705882,0.7072836444328416,0.6455882352941176,0.6515531757184541,0.04019687248508109,7,0.931517798286091,0.926700680272109,0.9347682254441494,0.9360826533501504,0.9314559934653868,0.9388704231643391,0.9361819050653075,0.9300983738205181,0.9333800317245684,0.9275205781971493,0.932657666278977,0.003726849421838825
0.07194645404815674,0.01107544521441141,0.0015270471572875976,0.0007407500303099864,balanced,entropy,100,5,"{'predict__class_weight': 'balanced', 'predict__criterion': 'entropy', 'predict__max_depth': 100, 'predict__min_samples_leaf': 5}",0.6950146627565981,0.71010101010101,0.6275,0.5734593736469908,0.6325,0.6364018747746666,0.68,0.6161764705882353,0.7027803158856547,0.6455882352941176,0.6519521943047273,0.04159984819569749,5,0.9084377059986817,0.9066326530612245,0.9148539922401469,0.9177118458647583,0.9159036144578313,0.9102976339056977,0.9173622172666455,0.914840393495282,0.9137683326399001,0.9142019674764104,0.9134010356406579,0.003543627017736578
