mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_predict__metric,param_predict__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.0015499591827392578,0.0003418754330098056,0.0024642467498779295,0.00033051975102063645,manhattan,1,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 1}",0.9090909090909091,0.6818181818181818,0.9285714285714285,0.7678571428571432,0.7321428571428574,0.8181818181818182,0.8181818181818182,0.9285714285714286,0.8571428571428571,0.8675213675213675,0.8309079809079811,0.07968645654563564,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0013719320297241211,0.0006869111610986326,0.00290834903717041,0.0010357307032462244,manhattan,4,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 4}",0.9545454545454546,0.6818181818181818,0.9,0.7321428571428574,0.7946428571428574,0.7727272727272727,0.8636363636363636,0.892857142857143,0.9017857142857143,0.8846153846153846,0.8378771228771229,0.08311058805403063,4,0.8611359570661896,0.9074239713774597,0.8866666666666665,0.9062187117588162,0.9075536767159863,0.9036225402504472,0.8707513416815742,0.8758482589832018,0.8924107645535413,0.8810160427807486,0.8892647931834631,0.0159890313893107
0.0014900684356689454,0.0008271554404861307,0.0023192405700683595,0.00021552304238461,manhattan,7,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 7}",0.9090909090909091,0.7727272727272727,0.7904761904761903,0.8035714285714289,0.7946428571428574,0.7272727272727273,0.8181818181818182,0.9017857142857143,0.7946428571428571,0.905982905982906,0.8218374680874682,0.05937110129306202,10,0.8609123434704832,0.8705277280858675,0.8566666666666666,0.8655579041050171,0.8774613416397822,0.8647137745974954,0.868515205724508,0.8513739014350873,0.8736065758360546,0.8600713012477716,0.8649406742808733,0.007541515978652083
0.0020133495330810548,0.0016342490372543803,0.003203892707824707,0.0019598250621075198,manhattan,10,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 10}",0.9090909090909091,0.7727272727272727,0.8619047619047617,0.8660714285714288,0.8928571428571431,0.8181818181818182,0.8181818181818182,0.9017857142857143,0.7946428571428571,1.0,0.8635443722943723,0.06335299948139823,1,0.8831618962432916,0.8550983899821111,0.8466666666666667,0.8619423740126821,0.8873623317387919,0.8695214669051878,0.8530858676207513,0.8886972966959619,0.8782794730323161,0.8665329768270944,0.8690348739724856,0.014188991686991304
0.001181173324584961,0.00025530499570393443,0.002478194236755371,0.0004576305609378014,manhattan,13,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 13}",0.9090909090909091,0.7272727272727273,0.7523809523809522,0.8392857142857146,0.7053571428571432,0.8636363636363636,0.7727272727272727,0.9375,0.7589285714285715,1.0,0.8266179653679655,0.09394659864370991,7,0.868515205724508,0.8675089445438283,0.855,0.8536544665702526,0.8529869840916676,0.8578935599284435,0.8558810375670842,0.8642229391478475,0.863528881882671,0.8471479500891265,0.8586339969545429,0.006644891802943446
0.001111602783203125,7.482023268254799e-05,0.0024907588958740234,0.0006958399626848248,manhattan,16,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 16}",0.9090909090909091,0.7272727272727273,0.7904761904761903,0.8035714285714289,0.7678571428571431,0.8181818181818182,0.7727272727272727,0.9017857142857143,0.7589285714285715,0.923076923076923,0.8172968697968698,0.0660336201862697,11,0.8356440071556351,0.868515205724508,0.8605555555555554,0.8549894315274222,0.8592724440983425,0.8637075134168158,0.836650268336315,0.8543219490488375,0.863528881882671,0.8381238859180034,0.8535309142664106,0.011642119443813569
0.0012117862701416016,0.00027509463011828896,0.0024527311325073242,0.0004638143742145233,manhattan,19,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 19}",0.9090909090909091,0.7272727272727273,0.7904761904761903,0.8035714285714289,0.7053571428571432,0.7727272727272727,0.7727272727272727,0.9017857142857143,0.7589285714285715,1.0,0.8141937229437229,0.08818786230314372,14,0.811381932021467,0.8452593917710196,0.8483333333333334,0.8318500389364779,0.8579374791411725,0.8161896243291593,0.8278175313059033,0.836133051507398,0.8227114063731561,0.8130570409982173,0.8310670829717305,0.01503802763359087
0.0012049198150634766,0.00022983026201737878,0.0025753021240234376,0.0004324083763961073,manhattan,22,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 22}",0.9090909090909091,0.6363636363636364,0.7904761904761903,0.8392857142857146,0.7053571428571432,0.7727272727272727,0.7727272727272727,0.9017857142857143,0.7589285714285715,1.0,0.8086742424242426,0.10102049248561001,18,0.8230098389982111,0.8404516994633273,0.8438888888888889,0.8487039715207475,0.8579374791411727,0.8230098389982111,0.8288237924865831,0.8262320614083881,0.8347595991442406,0.8357843137254901,0.8362601483775259,0.011000016212992484
0.0011864662170410155,0.0002467693383386709,0.002701854705810547,0.0009778191469114333,manhattan,25,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 25}",0.9545454545454546,0.7272727272727273,0.8238095238095237,0.8392857142857146,0.7053571428571432,0.8181818181818182,0.7727272727272727,0.9375,0.6875000000000001,1.0,0.8266179653679654,0.10285562904388543,8,0.8268112701252237,0.8490608228980322,0.8366666666666667,0.8417510290354879,0.8628879741906775,0.8374329159212879,0.8316189624329159,0.8186116364445434,0.8320572007656796,0.8236408199643493,0.8360539298444865,0.012261189277506135
0.0017505884170532227,0.0020701742832118534,0.0024555683135986327,0.0003696346675412467,manhattan,28,"{'predict__metric': 'manhattan', 'predict__n_neighbors': 28}",0.9545454545454546,0.7727272727272727,0.8238095238095237,0.8392857142857146,0.8035714285714287,0.8181818181818182,0.7727272727272727,0.9375,0.7232142857142859,1.0,0.844556277056277,0.08530836587291363,2,0.8268112701252237,0.8606887298747764,0.8594444444444445,0.8417510290354878,0.8628879741906775,0.8442531305903398,0.8326252236135957,0.8410835465569029,0.8501294899223062,0.8350044563279857,0.845467929468174,0.011871006866375678
