Iterations,Train Accuracy,Test Accuracy
1,0.4616490453990454,0.43928571428571433
251,0.7944276556776557,0.6351190476190476
501,0.7944276556776557,0.6351190476190476
751,0.7944276556776557,0.6351190476190476
1001,0.7944276556776557,0.6351190476190476
1251,0.7944276556776557,0.6351190476190476
1501,0.7944276556776557,0.6351190476190476
1751,0.7944276556776557,0.6351190476190476
2001,0.7944276556776557,0.6351190476190476
2251,0.7944276556776557,0.6351190476190476
2501,0.7944276556776557,0.6351190476190476
2751,0.7944276556776557,0.6351190476190476
3001,0.7944276556776557,0.6351190476190476
3251,0.7944276556776557,0.6351190476190476
3501,0.7944276556776557,0.6351190476190476
3751,0.7944276556776557,0.6351190476190476
4001,0.7944276556776557,0.6351190476190476
4251,0.7944276556776557,0.6351190476190476
4501,0.7944276556776557,0.6351190476190476
4751,0.7944276556776557,0.6351190476190476
