mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_predict__base_estimator__alpha,param_predict__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.008714532852172852,0.00562299469624093,0.001278233528137207,0.0005462875912694344,0,2,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 2}",0.8181818181818182,0.4090909090909091,0.8952380952380952,0.6964285714285717,0.5892857142857145,0.7272727272727273,0.8181818181818182,0.7946428571428574,0.7589285714285715,0.7735042735042735,0.7280755355755357,0.1317742293861234,7,0.9382826475849732,0.9160330948121646,0.913888888888889,0.9105017243297363,0.9343085993992659,0.8937835420393561,0.9314624329159212,0.8976526866169763,0.938520436887738,0.9315953654188949,0.9206029418893914,0.015729610994105282
0.016609978675842286,0.004608375358008592,0.001943516731262207,0.0012004728181860013,0,4,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 4}",0.8636363636363636,0.5454545454545454,0.7523809523809522,0.6696428571428574,0.7589285714285717,0.8181818181818182,0.7727272727272727,0.9375,0.6607142857142858,0.8675213675213675,0.7646688034188035,0.1101125500405231,6,1.0,1.0,1.0,1.0,1.0,0.9951923076923076,1.0,1.0,0.9953271028037383,1.0,0.9990519410496045,0.0018963574504303497
0.03146696090698242,0.006946784232294857,0.0032523632049560546,0.002565358611606087,0,8,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 8}",0.9090909090909091,0.6818181818181818,0.7523809523809522,0.892857142857143,0.6607142857142859,0.7272727272727273,0.7727272727272727,0.9642857142857143,0.7946428571428571,0.923076923076923,0.8078866966366965,0.1018507650338223,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06011528968811035,0.010157153184345772,0.0033197641372680665,0.002656792320579144,0,16,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 16}",0.9545454545454546,0.5454545454545454,0.8238095238095237,0.8303571428571431,0.7321428571428574,0.7272727272727273,0.8181818181818182,0.9375,0.7946428571428571,0.905982905982906,0.8069889832389834,0.1140479848648815,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.13513894081115724,0.09364110950316956,0.008003735542297363,0.0059849589877704204,0,32,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 32}",0.9090909090909091,0.6818181818181818,0.6857142857142855,0.8303571428571431,0.6964285714285717,0.7272727272727273,0.8181818181818182,0.9017857142857143,0.7946428571428571,0.9615384615384616,0.8006830669330671,0.09626861591321649,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.28924853801727296,0.1275690023095851,0.010493612289428711,0.006649240897399817,0,64,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 64}",0.8636363636363636,0.6818181818181818,0.6857142857142854,0.7946428571428572,0.6964285714285717,0.7272727272727273,0.8636363636363636,0.9375,0.7946428571428571,0.8846153846153847,0.7929907592407593,0.08762177464508011,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.357025671005249,0.15820278348557637,0.011724710464477539,0.005326227506606378,0,128,"{'predict__base_estimator__alpha': 0, 'predict__n_estimators': 128}",0.8636363636363636,0.6363636363636364,0.6857142857142854,0.8303571428571431,0.6964285714285717,0.7272727272727273,0.8181818181818182,0.9017857142857143,0.7946428571428571,0.923076923076923,0.787746003996004,0.0922992187648277,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
