mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_predict__activation,param_predict__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.1535334587097168,0.016602207021945363,0.0012718915939331054,0.0001614100841495503,logistic,32,"{'predict__activation': 'logistic', 'predict__hidden_layer_sizes': 32}",0.5513196480938416,0.6404040404040403,0.5900000000000001,0.5827680762014721,0.640625,0.5624924888835477,0.5885714285714285,0.6536764705882353,0.5789714136535701,0.5169117647058823,0.5905740331102018,0.04114067314140553,6,0.5735992089650626,0.6608843537414967,0.5312109454768225,0.5767201214960487,0.6266857259546661,0.6297098545659972,0.6363571201019435,0.5984179883557518,0.5755798835032245,0.6031600080305158,0.6012325210191529,0.036315390806094805
0.4422597408294678,0.25097224942492524,0.0017751932144165039,0.0002805295868048722,logistic,64,"{'predict__activation': 'logistic', 'predict__hidden_layer_sizes': 64}",0.5785923753665689,0.6595959595959596,0.62,0.5613364121806897,0.5,0.5251171734166568,0.5314285714285716,0.5970588235294119,0.5000000000000001,0.5455882352941176,0.5618717550811976,0.0496447141201013,8,0.5681773236651285,0.5991496598639457,0.5598243822748621,0.5716910345182629,0.5,0.531612517571633,0.5527317617075505,0.5751857056815901,0.5,0.6414173860670548,0.5599789771350027,0.04080973420326012
0.4047213315963745,0.1545327032246189,0.0019372224807739258,0.0004384363394974326,logistic,128,"{'predict__activation': 'logistic', 'predict__hidden_layer_sizes': 128}",0.5,0.6292929292929292,0.6399999999999999,0.5735315341319093,0.61,0.5657973801225814,0.5485714285714287,0.6036764705882353,0.5000000000000001,0.4970588235294117,0.5667928566236495,0.051630060134183135,7,0.4999999999999999,0.5681972789115648,0.5687849703900347,0.5861540837601996,0.5691239534408821,0.5947570844883534,0.5777636189869387,0.5909375627384059,0.5,0.5035294117647059,0.5559247964481085,0.03689883748252487
0.27972803115844724,0.011489525719786956,0.0019087791442871094,0.00015549278810263686,logistic,"(32, 64, 32)","{'predict__activation': 'logistic', 'predict__hidden_layer_sizes': (32, 64, 32)}",0.5,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5000000000000001,0.5,0.5,0.5000000000000001,0.49999999999999994,0.5,6.568167990716596e-17,9,0.4999999999999999,0.5000000000000002,0.5,0.5,0.5,0.4999999999999999,0.5000000000000002,0.5,0.5,0.5,0.5,1.1102230246251565e-16
0.5049997329711914,0.03190115960959882,0.00340878963470459,0.0009834582254824602,logistic,"(64, 128, 64)","{'predict__activation': 'logistic', 'predict__hidden_layer_sizes': (64, 128, 64)}",0.5,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5000000000000001,0.5,0.5,0.5000000000000001,0.49999999999999994,0.5,6.568167990716596e-17,9,0.4999999999999999,0.5000000000000002,0.5,0.5,0.5,0.4999999999999999,0.5000000000000002,0.5,0.5,0.5,0.5,1.1102230246251565e-16
0.249666428565979,0.04447154852007085,0.0015949487686157226,0.0012066685334155424,relu,32,"{'predict__activation': 'relu', 'predict__hidden_layer_sizes': 32}",0.6105571847507331,0.6343434343434343,0.674375,0.662216770096695,0.604375,0.578295877899291,0.6342857142857145,0.6139705882352943,0.6123221511552016,0.551470588235294,0.6176212309001657,0.03457781261222665,3,0.6045319709953855,0.6256802721088437,0.5994282213600164,0.6267857602512291,0.6062037982438228,0.614690213749885,0.6228177763618988,0.6106846014856454,0.6310312434990638,0.656334069463963,0.6198187927519754,0.01579727866888498
0.3884197473526001,0.11076470921140716,0.0015843629837036133,0.00031895745957011,relu,64,"{'predict__activation': 'relu', 'predict__hidden_layer_sizes': 64}",0.6384164222873899,0.6535353535353534,0.6537499999999999,0.6197142444797229,0.6206250000000001,0.578295877899291,0.6514285714285714,0.6323529411764707,0.6123221511552018,0.5419117647058823,0.6202352326667885,0.0341160840307395,2,0.627612063282795,0.6100340136054423,0.598676740861752,0.6393182578702155,0.6517255462528079,0.6251346611138116,0.6464877349474357,0.6068419995984742,0.6094708888079883,0.6628990162617949,0.6278200922602517,0.020572793480212417
0.3828709840774536,0.18091649906428095,0.001761174201965332,0.000239889719017114,relu,128,"{'predict__activation': 'relu', 'predict__hidden_layer_sizes': 128}",0.6085043988269794,0.6646464646464647,0.646875,0.6167556645980662,0.6275,0.5814805912750872,0.622857142857143,0.5977941176470589,0.6335987468998825,0.5419117647058823,0.6141923891456564,0.03293162808622547,4,0.5931278839815424,0.5948979591836737,0.5887727179906065,0.6669090581482148,0.647584235246069,0.6191471681753089,0.6405383880216631,0.5987592852840796,0.6279302969627626,0.6620638426018871,0.6239730835595807,0.02799435511945892
0.4484818458557129,0.11399071368573745,0.002316403388977051,0.0012703023069801805,relu,"(32, 64, 32)","{'predict__activation': 'relu', 'predict__hidden_layer_sizes': (32, 64, 32)}",0.6111436950146628,0.6232323232323231,0.62375,0.6167556645980662,0.6543749999999999,0.5751111645234949,0.6257142857142858,0.5125,0.6078188226080146,0.5544117647058823,0.6004812720396729,0.03942006060382461,5,0.6053230059327619,0.6076530612244899,0.5831284459873392,0.6467058354140388,0.6672370839289361,0.6732004677010391,0.6648215992354255,0.5198112828749247,0.6051737700228833,0.6020196747641036,0.6175074227085943,0.044754821669559804
0.6644148588180542,0.09222089793804578,0.002341818809509277,0.0007724969549833667,relu,"(64, 128, 64)","{'predict__activation': 'relu', 'predict__hidden_layer_sizes': (64, 128, 64)}",0.6560117302052785,0.6696969696969698,0.6912499999999998,0.6137970847164093,0.614375,0.6317149381084005,0.6514285714285714,0.6161764705882353,0.6655136405169039,0.5735294117647058,0.6383493817025474,0.03304078691847421,1,0.6576301911667765,0.6704081632653062,0.6553767612824178,0.6488793147828772,0.6466040432918112,0.6887784594768579,0.6526441541892325,0.6038426018871712,0.6696484293738298,0.7042642039751054,0.6598076322691385,0.025546907715568005
