Iterations,Train Accuracy,Test Accuracy
1,0.5028767356784007,0.5
251,0.6383493817025474,0.6156824448579806
501,0.6383493817025474,0.6156824448579806
751,0.6383493817025474,0.6156824448579806
1001,0.6383493817025474,0.6156824448579806
1251,0.6383493817025474,0.6156824448579806
1501,0.6383493817025474,0.6156824448579806
1751,0.6383493817025474,0.6156824448579806
2001,0.6383493817025474,0.6156824448579806
2251,0.6383493817025474,0.6156824448579806
2501,0.6383493817025474,0.6156824448579806
2751,0.6383493817025474,0.6156824448579806
3001,0.6383493817025474,0.6156824448579806
3251,0.6383493817025474,0.6156824448579806
3501,0.6383493817025474,0.6156824448579806
3751,0.6383493817025474,0.6156824448579806
4001,0.6383493817025474,0.6156824448579806
4251,0.6383493817025474,0.6156824448579806
4501,0.6383493817025474,0.6156824448579806
4751,0.6383493817025474,0.6156824448579806
